symbol,name,exchange,assetType,ipoDate,delistingDate,status,fixed_name
A,Agilent Technologies Inc,NYSE,Stock,1999-11-18,,Active,Agilent Technologies 
AA,Alcoa Corp,NYSE,Stock,2016-11-01,,Active,Alcoa 
AAA,AAF First Priority CLO Bond ETF,NYSE ARCA,ETF,2020-09-09,,Active,AAF First Priority CLO Bond 
AAAU,Goldman Sachs Physical Gold ETF,NYSE ARCA,ETF,2018-08-15,,Active,Goldman Sachs Physical Gold 
AAC,Ares Acquisition Corporation - Class A,NYSE,Stock,2021-03-25,,Active,Ares Acquisition  
AAC-U,Ares Acquisition Corporation - Units (1 Ord Share Class A & 1/5 War),NYSE,Stock,2021-02-02,,Active,Ares Acquisition  
AAC-WS,Ares Acquisition Corporation - Warrants (01/01/9999),NYSE,Stock,2021-03-25,,Active,Ares Acquisition  
AACQ,Artius Acquisition Inc - Class A,NASDAQ,Stock,2020-09-04,,Active,Artius Acquisition  
AACQU,Artius Acquisition Inc - Units (1 Ord Share Class A & 1/3 War),NASDAQ,Stock,2020-07-14,,Active,Artius Acquisition  
AACQW,Artius Acquisition Inc - Warrants (13/07/2025),NASDAQ,Stock,2020-09-04,,Active,Artius Acquisition  
AADR,AdvisorShares Dorsey Wright ADR ETF,NASDAQ,ETF,2010-07-21,,Active,AdvisorShares Dorsey Wright ADR 
AAIC,Arlington Asset Investment Corp - Class A,NYSE,Stock,1997-12-23,,Active,Arlingtosset Investment  
AAIC-P-B,Arlington Asset Investment Corp,NYSE,Stock,2017-05-16,,Active,Arlingtosset Investment 
AAIC-P-C,Arlington Asset Investment Corp,NYSE,Stock,2019-03-06,,Active,Arlingtosset Investment 
AAL,American Airlines Group Inc,NASDAQ,Stock,2005-09-27,,Active,Americairlines Group 
AAMC,Altisource Asset Management Corp,NYSE MKT,Stock,2012-12-13,,Active,Altisource Asset Magement 
AAME,Atlantic American Corp,NASDAQ,Stock,1984-09-07,,Active,Atlantic American 
AAN,Aarons Company Inc (The),NYSE,Stock,2020-11-25,,Active,Aarons Company  (The)
AAN-W,Aarons Holdings Company Inc When Issued,NYSE,Stock,2020-11-25,,Active,Aarons Holdings Company  When Issued
AAOI,Applied Optoelectronics Inc,NASDAQ,Stock,2013-09-26,,Active,Applied Optoelectronics 
AAON,AAON Inc,NASDAQ,Stock,1992-12-16,,Active,AAON 
